"#","Reference","Qty","Value","Footprint","DNP","Supplier"
"1","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12","12","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","","https://www.digikey.ch/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K20X7RH5TL2/286568"
"2","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10","10","NEOPIX","LED_THT:LED_D5.0mm-NeoPixel","","https://www.digikey.ch/en/products/detail/adafruit-industries-llc/1938/6827082"
"3","D11","1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","","https://www.digikey.ch/en/products/detail/onsemi/1N4148/458603"
"4","J1","1","MIDI_OUT","Audio_Module:CP-2350","","https://www.digikey.ch/de/products/detail/cui-devices/SDS-50J/97033"
"5","J2","1","MIDI_IN","Audio_Module:CP-2350","","https://www.digikey.ch/de/products/detail/cui-devices/SDS-50J/97033"
"6","J3","1","EXP","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","","https://www.digikey.ch/de/products/detail/schurter-inc/4833-2330/9451854"
"7","J4","1","RGB_LED_EXT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61300311021/4846824"
"8","J5","1","Pico USB TP","Pedalboard Library:Spring_Loaded_Pins_2mm","","https://www.digikey.ch/de/products/detail/mill-max-manufacturing-corp/0906-0-15-20-76-14-11-0/1147048"
"9","J6","1","USB_A","Pedalboard Library:USB A BCB Male Plug","","https://www.digikey.ch/de/products/detail/gct/USB1061-GF-L-A/10649776"
"10","J7","1","Raspberry_pi","Pedalboard Library:Raspberry PI Compute Module CM4 Nano A","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61304021121/4846886"
"11","J8","1","HiFi Berry","Pedalboard Library:HiFi Berry DAC ADC+","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61304021821/16608657"
"12","J9","1","Audio IN Right","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","","https://www.digikey.ch/de/products/detail/schurter-inc/4833-2330/9451854"
"13","J10","1","Audio IN Left","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","","https://www.digikey.ch/de/products/detail/schurter-inc/4833-2330/9451854"
"14","J11","1","Audio OUT Right","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","","https://www.digikey.ch/de/products/detail/schurter-inc/4833-2330/9451854"
"15","J12","1","Audio OUT Left","Connector_Audio:Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal","","https://www.digikey.ch/de/products/detail/schurter-inc/4833-2330/9451854"
"16","J13","1","Audio OUT","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61300621821/16608633"
"17","J14","1","Audio IN","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61300621821/16608633"
"18","J15","1","MIDI IN/OUT","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal","","https://www.digikey.ch/de/products/detail/w%C3%BCrth-elektronik/61300621021/4846834"
